time,pitch,roll
1487475889808,-2.7425041,-88.27843
1487475889810,-2.9122977,-88.28092
1487475889817,-3.056193,-88.283226
1487475889820,-3.2098835,-88.27574
1487475889829,-3.360207,-88.253075
1487475889831,-3.529851,-88.22767
1487475889837,-3.6961176,-88.19257
1487475889838,-3.878041,-88.145485
1487475889846,-4.069874,-88.08828
1487475889849,-4.267896,-88.0285
1487475889856,-4.4625406,-87.97017
1487475889859,-4.6671634,-87.90725
1487475889866,-4.8704505,-87.8348
1487475889868,-5.0510583,-87.755104
1487475889878,-5.210921,-87.6742
1487475889883,-5.3575597,-87.587875
1487475889886,-5.5064816,-87.49589
1487475889888,-5.6750293,-87.38969
1487475889897,-5.8438735,-87.288826
1487475889899,-6.028682,-87.17588
1487475889906,-6.2198095,-87.0492
1487475889909,-6.4075384,-86.924446
1487475889916,-6.591875,-86.7901
1487475889922,-6.7668123,-86.65955
1487475889931,-6.9383245,-86.52525
1487475889933,-7.1003656,-86.39481
1487475889936,-7.258957,-86.26069
1487475889938,-7.4080086,-86.13051
1487475889946,-7.5573797,-85.99416
1487475889948,-7.710865,-85.87254
1487475889955,-7.8845716,-85.736084
1487475889957,-8.062467,-85.60252
1487475889965,-8.246961,-85.449036
1487475889967,-8.421888,-85.29941
1487475889978,-8.593428,-85.140076
1487475889980,-8.755332,-84.98468
1487475889985,-8.923905,-84.81513
1487475889987,-9.106765,-84.6438
1487475889996,-9.286324,-84.474655
1487475889998,-9.466341,-84.30493
1487475890005,-9.64684,-84.134636
1487475890008,-9.834233,-83.95598
1487475890015,-10.022163,-83.7828
1487475890018,-10.231103,-83.59975
1487475890028,-10.46774,-83.40499
1487475890034,-10.70895,-83.218666
1487475890037,-10.957574,-83.04214
1487475890039,-11.207089,-82.86484
1487475890047,-11.436723,-82.70252
1487475890049,-11.649253,-82.54443
1487475890054,-11.841638,-82.39547
1487475890057,-12.027229,-82.246216
1487475890064,-12.2029915,-82.10772
1487475890067,-12.379388,-81.9689
1487475890078,-12.549026,-81.817406
1487475890080,-12.708761,-81.6705
1487475890084,-12.847918,-81.53948
1487475890087,-12.983946,-81.392555
1487475890095,-13.095604,-81.25862
1487475890097,-13.225693,-81.131935
1487475890104,-13.345592,-81.02278
1487475890106,-13.490962,-80.906525
1487475890114,-13.626128,-80.80149
1487475890116,-13.776122,-80.69429
1487475890128,-13.9158535,-80.59195
1487475890130,-14.048844,-80.48465
1487475890134,-14.196629,-80.37508
1487475890137,-14.348426,-80.2618
1487475890145,-14.511502,-80.14314
1487475890147,-14.71482,-80.03415
1487475890153,-14.940593,-79.92743
1487475890155,-15.17067,-79.82973
1487475890163,-15.394076,-79.75282
1487475890166,-15.60717,-79.67424
1487475890177,-15.77319,-79.606895
1487475890180,-15.917532,-79.54331
1487475890183,-16.047579,-79.48198
1487475890185,-16.159754,-79.413445
1487475890194,-16.253536,-79.35171
1487475890196,-16.325287,-79.30056
1487475890202,-16.393671,-79.246475
1487475890204,-16.484505,-79.181694
1487475890213,-16.590237,-79.12768
1487475890215,-16.715073,-79.053345
1487475890222,-16.851439,-78.99352
1487475890224,-16.976954,-78.93231
1487475890233,-17.121798,-78.86404
1487475890235,-17.259283,-78.80393
1487475890244,-17.41278,-78.727135
1487475890248,-17.581558,-78.64089
1487475890252,-17.720304,-78.57369
1487475890263,-17.844618,-78.502235
1487475890266,-17.969276,-78.430664
1487475890273,-18.113659,-78.35188
1487475890276,-18.269936,-78.267426
1487475890284,-18.46569,-78.16851
1487475890286,-18.631166,-78.095695
1487475890296,-18.785715,-78.02149
1487475890299,-18.929247,-77.959595
1487475890303,-19.081429,-77.88917
1487475890305,-19.225964,-77.82022
1487475890314,-19.37099,-77.75804
1487475890316,-19.513136,-77.69295
1487475890322,-19.66252,-77.6334
1487475890324,-19.8007,-77.57252
1487475890332,-19.939306,-77.511536
1487475890334,-20.05488,-77.461876
1487475890344,-20.16239,-77.406815
1487475890346,-20.243322,-77.36035
1487475890351,-20.324492,-77.29295
1487475890353,-20.405907,-77.225494
1487475890363,-20.490881,-77.16773
1487475890365,-20.576078,-77.09593
1487475890371,-20.673351,-77.02524
1487475890373,-20.759024,-76.95324
1487475890382,-20.844933,-76.88815
1487475890384,-20.942965,-76.81013
1487475890393,-21.029354,-76.74484
